version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
1,yes,active,Together We Can - Covid19,2020-06-17T01:45:19,AppStore (iOS),2020-06-16T07:00:00Z,local/regional government,na,no,LKA,Asia,covid-19 specific,contact tracing; information exchange; other-health,proximity tracking; manage self-isolation; self-diagnosis with data sharing,positive status; other,no
3.7.0,no,active,안전디딤돌,2020-05-04T05:11:03,AppStore (iOS),2011-11-04T12:12:47Z,national government,no,no,KOR,Asia,other,other,,,
1,no,active,Canasta Solidaria,2020-04-14T21:27:54,AppStore (iOS),2020-04-14T07:00:00Z,local/regional government,no,no,ARG,South America,other,other,,,
1,yes,active,CovTracer,2020-05-23T13:49:00,AppStore (iOS),2020-05-14T07:00:00Z,national government,medicine research institute(s) university(ies),yes,CYP,Europe,covid-19 specific,contact tracing ,continuous location sharing,location as province/region; location as gps/cell tower data; health status,yes
1,no,active,MPES Cidadão,2020-04-27T20:41:00,AppStore (iOS),2016-06-15T17:17:25Z,local/regional government,no,no,BRA,South America,other,other,,,
1.0.0,no,notactive,COVID-19 Symptom Tracker,2020-04-30T16:29:51,AppStore (iOS),2020-04-07T07:00:00Z,university(ies) or research centre(s),na,yes,DEU,Europe,covid-19 specific,personalised support without data sharing,,,
1,no,active,MDBox,2020-05-08T13:33:05,AppStore (iOS),2019-02-01T00:47:49Z,health company,health facilities,no,USA,North America,covid-19 influenced,information provision; information exchange; expert support,,,
1,no,notactive,Asistencia COVID-19 GT,2020-04-20T07:54:04,AppStore (iOS),2020-04-20T07:54:04Z,non-profit organization,health authority,no,GTM,North America,covid-19 specific,information exchange,,,
1,no,active,Digital Stress Buddy,2020-06-08T06:55:57,AppStore (iOS),2020-06-07T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies); health facilities,yes,NLD,Europe,covid-19 specific,expert support; information provision,,,
1,no,active,Doktuz,2020-06-05T22:18:45,AppStore (iOS),2016-06-16T00:22:38Z,health company,health facilities,no,PER,South America,health-generic,information provision; information exchange,prevention; news; communication with a doctor,,
1,no,active,HMH COVID RS,2020-06-05T22:11:30,AppStore (iOS),2020-06-05T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific,expert support,,,
2.11,no,active,FEMA,2019-12-23T19:34:41,AppStore (iOS),2011-10-25T18:04:06Z,national government,no,no,USA,North America,other,other,,,
1,no,active,COVID-19: Response,2020-06-07T14:42:04,AppStore (iOS),2020-06-07T07:00:00Z,international organisation,consortium,yes,WORLD,WORLD,covid-19 specific,expert support; information provision,,,
,no,active,Здоровье.ру – стоп коронавирус,,AppStore (iOS),2019-02-21T09:33:42Z,technology company,no,no,RUS,Europe,covid-19 influenced,information provision; information exchange; expert support,,,
,no,active,MyAus COVID-19,,AppStore (iOS),2020-04-22T07:00:00Z,national government,health authority,no,AUS,Oceania,covid-19 specific,information exchange,self-diagnosis with data sharing,,
1,yes,active,Kencor COVID-19,2020-04-26T20:15:28,AppStore (iOS),2020-04-13T07:00:00Z,health company,consortium,no,USA,North America,covid-19 specific,information exchange,symptoms monitoring with data sharing; communication with a doctor,health status; other,yes
1,yes,active,StopCovid France,2020-06-05T11:04:27,AppStore (iOS),2020-06-02T07:00:00Z,national government,health authority,yes,FRA,Europe,covid-19 specific,contact tracing; notifications,sending notifications; sending instructions; proximity tracking,location as province/region; proximity; health status; positive status; other,yes
1,no,active,MUSC COVID-19 Vital Link,2020-04-24T21:50:10,AppStore (iOS),2020-04-08T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific, information exchange,,,
,no,active,SulAmérica Saúde,,AppStore (iOS),2012-08-09T12:48:55Z,health company,no,no,BRA,South America,health-generic,information provision; information exchange,,,
1,no,notactive,SESA Monitoramento,2020-04-09T18:32:59,AppStore (iOS),2020-03-26T07:00:00Z,local/regional government,health facilities,no,BRA,South America,covid-19 specific,expert support,,,
1,yes,active,COVID Care Basel-Stadt,2020-04-30T07:00:00,AppStore (iOS),2020-07-30T07:00:00Z,local/regional government,health authority,no,CHE,Europe,covid-19 specific,information exchange; expert support; lockdown management,telemedicine; manage self-isolation; communication with a doctor; mobility checking; help in self-isolation,location as province/region;  health status; positive status; other,yes
1,yes,active,CombatCOVID PBC,2020-07-31T13:34:58,AppStore (iOS),2020-07-28T07:00:00Z,local/regional government,consortium,no,USA,North America,covid-19 specific,contact tracing,proximity tracking,proximity; positive status,yes
1,no,active,Yale Medicine Referral,2020-04-24T23:33:15,AppStore (iOS),2018-02-22T03:46:50Z,university(ies) or research centre(s),medicine research institute(s) university(ies) ,no,USA,North America,other,other,,,
1,no,active,Телемедицина Югры,2020-05-12T04:09:16,AppStore (iOS),2020-03-31T07:00:00Z,health company,health facilities,no,RUS,Europe,covid-19 influenced,information exchange,,,
1,yes,active,CovidWatcher,2020-04-25T21:07:04,AppStore (iOS),2020-04-10T07:00:00Z,university(ies) or research centre(s),consortium,no,USA,North America,covid-19 specific,information provision; information exchange,statistics; news; symptoms monitoring with data sharing,location as province/region; health status; other,no
1,no,active,Apollo COVID-19,2020-04-24T23:11:35,AppStore (iOS),2020-04-16T07:00:00Z,health company,health facilities,no,USA,North America,covid-19 specific,information exchange; expert support,,,
2.1.0,no,active,Ministry of Public Health,2020-04-09T18:29:59,AppStore (iOS),2013-05-01T21:26:22Z,national government,health authority,no,LBN,Asia,health-generic,other-health,,,
1,no,notactive,Dr. KoKo,2020-04-12T07:00:00,AppStore (iOS),2020-04-12T07:00:00Z,community,no,no,RUS,Europe,other,other,,health status,
1,no,active,Vigilancia Epidemiológica 4.0,2020-04-27T22:02:04,AppStore (iOS),2020-03-16T07:00:00Z,local/regional government,health facilities,no,ARG,South America,covid-19 influenced,expert support,,,
1.0,no,active,Quarantine Watch,2020-05-15T17:23:26,AppStore (iOS),2020-07-07T07:00:00Z,local/regional government,no,no,IND,Asia,covid-19 specific,lockdown management,,,
1,no,notactive,Saúde - Osasco,2020-05-12T00:15:56,AppStore (iOS),2020-05-03T07:00:00Z,local/regional government,health facilities,no,BRA,South America,covid-19 specific,information exchange,symptoms monitoring with data sharing; communication with a doctor,,
2,no,active,COVID-19,2020-04-13T05:00:29,AppStore (iOS),2020-04-13T05:00:29Z,national government,health authority; health facilities,no,VNM,Asia,covid-19 specific,information provision; information exchange,,,
1,yes,active,CMICH Healthscreen,2020-06-27T07:11:49,AppStore (iOS),2020-06-27T07:00:00Z,university(ies) or research centre(s),no,no,USA,North America,covid-19 influenced,expert support; information exchange; lockdown management,risk assessment with data sharing; mobility checking,positive status; health status; other,no
1,no,active,COVID-19 MS SOS,2020-06-17T00:53:56,AppStore (iOS),2020-06-16T07:00:00Z,technology company,no,no,KAZ,Europe,covid-19 specific,information provision; information exchange,,,
1.0.0,no,active,Dados do Bem,2020-05-01T14:38:44,AppStore (iOS),2020-04-17T07:00:00Z,local/regional government,health facilities,no,BRA,South America,covid-19 specific,expert support; information provision; information exchange,,,
1,no,active,Know NOW!,2020-07-31T18:58:21,AppStore (iOS),2020-07-03T07:00:00Z,technology company,no,no,USA,North America,covid-19 specific,information provision,,,
1.6.6,no,active,Personal Health,2020-05-15T13:09:47,AppStore (iOS),2020-03-26T07:00:00Z,health company,consortium,no,BRA,South America,health-generic,information exchange,,health status; other,yes
1,yes,active,Preworkscreen,2020-06-25T12:23:27,AppStore (iOS),2020-06-16T07:00:00Z,health company,no,no,USA,North America,covid-19 specific,information provision; information exchange,prevention; self-diagnosis with data sharing; symptoms monitoring with data sharing,health status; other,yes
1,yes,active,COVID Alert,2020-07-30T15:03:42,AppStore (iOS),2020-07-30T07:00:00Z,national government,health authority,no,CAN,North America,covid-19 specific,contact tracing,proximity tracking,proximity; positive status,yes
1.0.4,no,active,GVA Responde,2020-04-22T06:56:15,AppStore (iOS),2020-04-03T07:00:00Z,local/regional government,no,yes,ESP,Europe,covid-19 specific,information provision,,,
1,no,notactive,Cuidémonos,2020-04-14T19:43:44,AppStore (iOS),2020-04-14T07:00:00Z,local/regional government,health authority,no,COL,South America,health-generic,information provision; information exchange; expert support,,,
,no,active,OntarioParamedicClinicalGuide,,AppStore (iOS),2017-02-02T21:11:16Z,health company,health authority,no,CAN,North America,health-generic,information provision,,,
1.4.1,yes,active,Социальный мониторинг,2020-05-14T14:04:04,AppStore (iOS),2020-05-02T07:00:00Z,local/regional government,no,no,RUS,Europe,covid-19 specific,notifications; lockdown management,sending notifications; mobility for citizen in lockdown,location as gps/cell tower data; other,yes
1,no,active,HasHealth Video Consultations,2020-04-14T13:50:41,AppStore (iOS),2020-03-16T07:00:00Z,health company,health authority,yes,IRL,Europe,covid-19 influenced,information exchange; expert support,,,
1,no,active,cov_cl,2020-05-15T12:56:13,AppStore (iOS),2020-04-18T07:00:00Z,national government,health authority,no,CHL,South America,covid-19 specific,information provision,,,
1,no,active,COVID-19 Michoacán,2020-04-28T00:08:44,AppStore (iOS),2020-04-21T07:00:00Z,local/regional government,na,no,MEX,North America,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1,no,active,MyGy Pro,2020-05-12T08:39:51,AppStore (iOS),2020-01-14T08:00:00Z,health company,no,yes,ITA,Europe,health-generic,information provision,,,
1,no,notactive,Sonora COVID-19,2020-07-09T15:19:45,AppStore (iOS),2020-07-09T07:00:00Z,local/regional government,health authority,no,MEX,North America,covid-19 specific,personalised support without data sharing; information exchange,,,
1,yes,active,ACCESS COVID-19 Research,2020-04-19T22:26:57,AppStore (iOS),2020-04-16T07:00:00Z,health company,consortium,no,USA,North America,covid-19 specific,information exchange,self-diagnosis with data sharing; symptoms monitoring with data sharing,location as gps/cell tower data; health status; positive status; other,no
1,no,active,RTM Mobile,2020-05-06T14:17:55,AppStore (iOS),2013-12-17T01:44:36Z,other type of company,health authority,no,MYS,Asia,other,information provision,,,
1,yes,active,Beat COVID Gibraltar,2020-06-27T10:15:21,AppStore (iOS),2020-06-27T10:15:21Z,national government,no,no,GIB,Europe,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,proximity; positive status,yes
3.2.0,yes,active,Canada COVID-19,2020-05-15T21:16:37,AppStore (iOS),2020-03-30T07:00:00Z,national government,health authority,no,CAN,North America,covid-19 specific,information provision; information exchange; contact tracing; notifications,news; statistics; prevention; symptoms monitoring with data sharing; continuous location sharing; sending notifications,location as province/region; location as gps/cell tower data; health status; other,no
1,no,active,Santé LU,2020-04-22T00:33:38,AppStore (iOS),2019-02-01T00:57:35Z,national government,health authority,yes,LUX,Europe,health-generic,notifications,,,
1,no,active,Florence: Nurse & Carer Shifts,2020-05-05T12:04:30,AppStore (iOS),2019-11-06T08:00:00Z,other type of company,health facilities,no,GBR,Europe,health-generic,expert support,,,
3.11.1.3,no,active,Госуслуги Москвы,2020-04-16T11:43:57,AppStore (iOS),2012-10-10T16:56:03Z,local/regional government,no,no,RUS,Europe,other,other,,,
0.1.5,yes,active,BeAware Bahrain,2020-05-02T12:14:52,AppStore (iOS),2020-03-28T07:00:00Z,national government,health authority,no,BHR,Asia,covid-19 specific,information provision; contact tracing; notifications; lockdown management,statistics; news; proximity tracking; continuous location sharing; sending notifications; mobility for citizen in lockdown,proximity; location as gps/cell tower data; positive status,no
